timestamp_ns,realized_pnl,unrealized_pnl,position_size,entry_price
387600726467916,0.0000,0.0000,0.0890,0.0
387610727544541,0.0000,0.0000,0.0990,0.0
387620727822416,0.0000,0.0000,0.0990,0.0
387630728321000,0.0000,0.0000,0.0990,0.0
387640729359916,0.0000,0.0000,0.0990,0.0
387650729805166,0.0000,0.0000,0.0990,0.0
387660729973958,0.0000,0.0000,0.0990,0.0
387670731025833,0.0000,0.0000,0.0990,0.0
387680731492208,0.0000,0.0000,0.0990,0.0
387690732542333,0.0000,0.0000,0.0990,0.0
387700733566458,0.0000,0.0000,0.0990,0.0
387710733590833,0.0000,0.0000,0.0990,0.0
387720734615416,0.0000,0.0000,0.0990,0.0
387730735653458,0.0000,0.0000,0.0990,0.0
387740736683958,0.0000,0.0000,0.0990,0.0
387750737647916,0.0000,0.0000,0.0990,0.0
387760738688416,0.0000,0.0000,0.0990,0.0
387770739776291,0.0000,0.0000,0.0990,0.0
387780740857333,0.0000,0.0000,0.0990,0.0
387790741571583,0.0000,0.0000,0.0990,0.0
387800741845041,0.0000,0.0000,0.0990,0.0
387810742793875,0.0000,0.0000,0.0990,0.0
